iter	Passed	Remaining
464	743	855
465	744	852
466	747	852
467	748	850
468	749	848
469	750	846
470	751	844
471	753	842
472	754	840
473	755	838
474	756	835
475	757	833
476	758	831
477	759	829
478	760	827
479	761	825
480	763	823
481	764	821
482	765	819
483	766	817
484	767	814
485	768	812
486	769	810
487	770	808
488	771	806
489	772	804
490	773	802
491	775	800
492	776	798
493	777	796
494	778	794
495	779	792
496	781	790
497	782	788
498	783	786
499	783	783
500	785	781
501	786	779
502	787	777
503	788	775
504	789	773
505	790	771
506	791	769
507	792	767
508	793	765
509	794	763
510	795	761
511	796	759
512	797	757
513	798	755
514	799	753
515	800	750
516	801	748
517	802	746
518	803	744
519	805	743
520	806	741
521	807	739
522	808	737
523	809	735
524	810	733
525	811	731
526	812	729
527	813	727
528	814	725
529	815	723
530	816	721
531	817	719
532	818	717
533	819	715
534	821	713
535	822	711
536	823	709
537	824	707
538	825	705
539	826	703
540	827	701
541	828	699
542	829	697
543	830	695
544	831	693
545	832	692
546	833	690
547	834	688
548	835	686
549	837	684
550	838	682
551	839	680
552	840	679
553	841	677
554	842	675
555	843	673
556	844	671
557	845	669
558	846	667
559	847	665
560	848	663
561	849	662
562	851	660
563	852	658
564	853	657
565	854	655
566	855	653
567	856	651
568	858	649
569	859	648
570	860	646
571	861	644
572	863	643
573	864	641
574	865	639
575	866	638
576	868	636
577	869	634
578	870	632
579	871	631
580	872	629
581	873	627
582	874	625
583	876	624
584	877	622
585	878	620
586	879	618
587	881	617
588	882	615
589	883	613
590	884	612
591	885	610
592	886	608
593	887	606
594	888	604
595	889	603
596	890	601
597	891	599
598	892	597
599	893	595
600	895	594
601	896	592
602	897	591
603	898	589
604	900	587
605	901	586
606	902	584
607	903	582
608	904	580
609	905	578
610	906	577
611	907	575
612	908	573
613	910	572
614	911	570
615	912	568
616	913	567
617	914	565
618	915	563
619	916	561
620	917	560
621	918	558
622	919	556
623	920	554
624	921	552
625	922	551
626	923	549
627	925	547
628	926	546
629	927	544
630	928	542
631	929	541
632	930	539
633	931	537
634	932	535
635	933	534
636	934	532
637	935	530
638	936	528
639	937	527
640	938	525
641	939	523
642	940	522
643	941	520
644	942	518
645	943	517
646	944	515
647	945	513
648	946	512
649	947	510
650	948	508
651	949	506
652	950	505
653	951	503
654	952	501
655	954	500
656	955	498
657	956	497
658	957	495
659	958	493
660	959	492
661	960	490
662	961	488
663	962	487
664	963	485
665	964	483
666	966	482
667	966	480
668	967	478
669	969	477
670	970	475
671	971	474
672	972	472
673	973	470
674	974	469
675	975	467
676	976	465
677	977	464
678	978	462
679	979	460
680	980	459
681	981	457
682	982	455
683	983	454
684	984	452
685	985	451
686	987	449
687	988	448
688	989	446
689	990	444
690	991	443
691	992	441
692	993	440
693	994	438
694	995	436
695	996	435
696	997	433
697	998	432
698	999	430
699	1001	429
700	1002	427
701	1004	426
702	1006	425
703	1007	423
704	1009	422
705	1010	420
706	1011	419
707	1013	417
708	1014	416
709	1015	414
710	1016	413
711	1017	411
712	1018	410
713	1020	408
714	1021	407
715	1022	405
716	1023	403
717	1024	402
718	1025	400
719	1026	399
720	1028	397
721	1029	396
722	1031	395
723	1032	393
724	1033	391
725	1034	390
726	1035	389
727	1037	387
728	1038	386
729	1040	384
730	1041	383
731	1042	381
732	1043	380
733	1045	378
734	1047	377
735	1048	376
736	1049	374
737	1051	373
738	1052	371
739	1053	370
740	1054	368
741	1056	367
742	1057	365
743	1058	364
744	1060	362
745	1061	361
746	1062	359
747	1063	358
748	1065	356
749	1066	355
750	1067	353
751	1068	352
752	1069	350
753	1070	349
754	1072	347
755	1074	346
756	1075	345
